constructorId,url,name,nationality
adams,https://en.wikipedia.org/wiki/Adams_(constructor),Adams,American
afm,https://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,AFM,German
ags,https://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,AGS,French
alfa,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
alphatauri,https://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
alpine,https://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
alta,https://en.wikipedia.org/wiki/Alta_Car_and_Engineering_Company,Alta,British
amon,https://en.wikipedia.org/wiki/Chris_Amon_Racing,Amon,New Zealander
apollon,https://en.wikipedia.org/wiki/Apollon_(Formula_One),Apollon,Swiss
arrows,https://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British
arzani-volpini,https://en.wikipedia.org/wiki/Arzani-Volpini,Arzani-Volpini,Italian
aston_martin,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
ats,https://en.wikipedia.org/wiki/ATS_Wheels,ATS,Italian
audi,https://en.wikipedia.org/wiki/Audi_in_Formula_One,Audi,German
bar,https://en.wikipedia.org/wiki/British_American_Racing,BAR,British
behra-porsche,https://en.wikipedia.org/wiki/Behra-Porsche,Behra-Porsche,Italian
bellasi,https://en.wikipedia.org/wiki/Bellasi,Bellasi,Swiss
benetton,https://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
bmw,https://en.wikipedia.org/wiki/BMW,BMW,German
bmw_sauber,https://en.wikipedia.org/wiki/BMW_in_Formula_One,BMW Sauber,German
boro,https://en.wikipedia.org/wiki/Boro_(Formula_One),Boro,Dutch
brabham,https://en.wikipedia.org/wiki/Brabham,Brabham,British
brabham-alfa_romeo,https://en.wikipedia.org/wiki/Brabham,Brabham-Alfa Romeo,British
brabham-brm,https://en.wikipedia.org/wiki/Brabham,Brabham-BRM,British
brabham-climax,https://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British
brabham-ford,https://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British
brabham-repco,https://en.wikipedia.org/wiki/Brabham,Brabham-Repco,British
brawn,https://en.wikipedia.org/wiki/Brawn_GP,Brawn,British
brm,https://en.wikipedia.org/wiki/British_Racing_Motors,BRM,British
brm-ford,https://en.wikipedia.org/wiki/British_Racing_Motors,BRM-Ford,British
bromme,https://en.wikipedia.org/wiki/Bromme,Bromme,American
brp,https://en.wikipedia.org/wiki/British_Racing_Partnership,BRP,British
bugatti,https://en.wikipedia.org/wiki/Bugatti,Bugatti,French
butterworth,https://en.wikipedia.org/wiki/Aston_Butterworth,Aston Butterworth,British
cadillac,https://en.wikipedia.org/wiki/Cadillac_in_Formula_One,Cadillac F1 Team,American
caterham,https://en.wikipedia.org/wiki/Caterham_F1,Caterham,Malaysian
cisitalia,https://en.wikipedia.org/wiki/Cisitalia,Cisitalia,Italian
coloni,https://en.wikipedia.org/wiki/Scuderia_Coloni,Coloni,Italian
connaught,https://en.wikipedia.org/wiki/Connaught_Engineering,Connaught,British
connew,https://en.wikipedia.org/wiki/Connew,Connew,British
cooper,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper,British
cooper-alfa_romeo,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Alfa Romeo,British
cooper-ats,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-ATS,British
cooper-borgward,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Borgward,British
cooper-brm,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-BRM,British
cooper-castellotti,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Castellotti,British
cooper-climax,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British
cooper-ferrari,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Ferrari,British
cooper-ford,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Ford,British
cooper-maserati,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British
cooper-osca,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-OSCA,British
dallara,https://en.wikipedia.org/wiki/Dallara,Dallara,Italian
de_tomaso-alfa_romeo,https://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Alfa Romeo,Italian
de_tomaso-ferrari,https://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Ferrari,Italian
de_tomaso-osca,https://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Osca,Italian
deidt,https://en.wikipedia.org/wiki/Emil_Diedt,Deidt,American
del_roy,https://en.wikipedia.org/wiki/Frank_DelRoy,Del Roy,American
derrington,https://en.wikipedia.org/wiki/Derrington-Francis,Derrington,British
dunn,https://en.wikipedia.org/wiki/Dunn_Engineering,Dunn,American
eagle,https://en.wikipedia.org/wiki/All_American_Racers,Eagle,American
eagle-climax,https://en.wikipedia.org/wiki/All_American_Racers,Eagle-Climax,American
eagle-weslake,https://en.wikipedia.org/wiki/All_American_Racers,Eagle-Weslake,American
elder,https://en.wikipedia.org/wiki/Edgar_Elder,Elder,American
emeryson,https://en.wikipedia.org/wiki/Emeryson,Emeryson,British
emw,https://en.wikipedia.org/wiki/Eisenacher_Motorenwerk,EMW,East German
enb,https://en.wikipedia.org/wiki/Écurie_Nationale_Belge,ENB,Belgian
ensign,https://en.wikipedia.org/wiki/Ensign_Racing,Ensign,British
epperly,https://en.wikipedia.org/wiki/Epperly,Epperly,American
era,https://en.wikipedia.org/wiki/English_Racing_Automobiles,ERA,British
eurobrun,https://en.wikipedia.org/wiki/EuroBrun,Euro Brun,Italian
ewing,https://en.wikipedia.org/wiki/Wayne_Ewing,Ewing,American
ferguson,https://en.wikipedia.org/wiki/Ferguson_Research,Ferguson,British
ferrari,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
fittipaldi,https://en.wikipedia.org/wiki/Fittipaldi_Automotive,Fittipaldi,Brazilian
fondmetal,https://en.wikipedia.org/wiki/Fondmetal,Fondmetal,Italian
footwork,https://en.wikipedia.org/wiki/Footwork_Arrows,Footwork,British
force_india,https://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
forti,https://en.wikipedia.org/wiki/Forti,Forti,Italian
frazer_nash,https://en.wikipedia.org/wiki/Frazer_Nash,Frazer Nash,British
fry,https://en.wikipedia.org/wiki/Fry_(racing_team),Fry,British
gilby,https://en.wikipedia.org/wiki/Gilby,Gilby,British
gordini,https://en.wikipedia.org/wiki/Gordini,Gordini,French
haas,https://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
hall,https://en.wikipedia.org/wiki/Hall_(constructor),Hall,American
hesketh,https://en.wikipedia.org/wiki/Hesketh_Racing,Hesketh,British
hill,https://en.wikipedia.org/wiki/Embassy_Hill,Embassy Hill,British
honda,https://en.wikipedia.org/wiki/Honda_in_Formula_One,Honda,Japanese
hrt,https://en.wikipedia.org/wiki/HRT_Formula_1_Team,HRT,Spanish
hwm,https://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,HWM,British
iso_marlboro,https://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars,Iso Marlboro,British
jaguar,https://en.wikipedia.org/wiki/Jaguar_Racing,Jaguar,British
jbw,https://en.wikipedia.org/wiki/JBW,JBW,British
jordan,https://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish
kauhsen,https://en.wikipedia.org/wiki/Kauhsen,Kauhsen,German
klenk,https://en.wikipedia.org/wiki/Klenk,Klenk,German
kojima,https://en.wikipedia.org/wiki/Kojima_Engineering,Kojima,Japanese
kurtis_kraft,https://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American
kuzma,https://en.wikipedia.org/wiki/Eddie_Kuzma,Kuzma,American
lago,https://en.wikipedia.org/wiki/Talbot-Lago,Talbot-Lago,French
lambo,https://en.wikipedia.org/wiki/Modena_(racing_team),Lambo,Italian
