race_id,season_year,round_number,race_name,race_date,circuit_id,race_url
1,1950,1,British Grand Prix,1950-05-13,silverstone,https://en.wikipedia.org/wiki/1950_British_Grand_Prix
2,1950,2,Monaco Grand Prix,1950-05-21,monaco,https://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
3,1950,3,Indianapolis 500,1950-05-30,indianapolis,https://en.wikipedia.org/wiki/1950_Indianapolis_500
4,1950,4,Swiss Grand Prix,1950-06-04,bremgarten,https://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
5,1950,5,Belgian Grand Prix,1950-06-18,spa,https://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
6,1950,6,French Grand Prix,1950-07-02,reims,https://en.wikipedia.org/wiki/1950_French_Grand_Prix
7,1950,7,Italian Grand Prix,1950-09-03,monza,https://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
8,1951,1,Swiss Grand Prix,1951-05-27,bremgarten,https://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
9,1951,2,Indianapolis 500,1951-05-30,indianapolis,https://en.wikipedia.org/wiki/1951_Indianapolis_500
10,1951,3,Belgian Grand Prix,1951-06-17,spa,https://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix
11,1951,4,French Grand Prix,1951-07-01,reims,https://en.wikipedia.org/wiki/1951_French_Grand_Prix
12,1951,5,British Grand Prix,1951-07-14,silverstone,https://en.wikipedia.org/wiki/1951_British_Grand_Prix
13,1951,6,German Grand Prix,1951-07-29,nurburgring,https://en.wikipedia.org/wiki/1951_German_Grand_Prix
14,1951,7,Italian Grand Prix,1951-09-16,monza,https://en.wikipedia.org/wiki/1951_Italian_Grand_Prix
15,1951,8,Spanish Grand Prix,1951-10-28,pedralbes,https://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix
16,1952,1,Swiss Grand Prix,1952-05-18,bremgarten,https://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix
17,1952,2,Indianapolis 500,1952-05-30,indianapolis,https://en.wikipedia.org/wiki/1952_Indianapolis_500
18,1952,3,Belgian Grand Prix,1952-06-22,spa,https://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix
19,1952,4,French Grand Prix,1952-07-06,essarts,https://en.wikipedia.org/wiki/1952_French_Grand_Prix
20,1952,5,British Grand Prix,1952-07-19,silverstone,https://en.wikipedia.org/wiki/1952_British_Grand_Prix
21,1952,6,German Grand Prix,1952-08-03,nurburgring,https://en.wikipedia.org/wiki/1952_German_Grand_Prix
22,1952,7,Dutch Grand Prix,1952-08-17,zandvoort,https://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix
23,1952,8,Italian Grand Prix,1952-09-07,monza,https://en.wikipedia.org/wiki/1952_Italian_Grand_Prix
24,1953,1,Argentine Grand Prix,1953-01-18,galvez,https://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix
25,1953,2,Indianapolis 500,1953-05-30,indianapolis,https://en.wikipedia.org/wiki/1953_Indianapolis_500
26,1953,3,Dutch Grand Prix,1953-06-07,zandvoort,https://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix
27,1953,4,Belgian Grand Prix,1953-06-21,spa,https://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix
28,1953,5,French Grand Prix,1953-07-05,reims,https://en.wikipedia.org/wiki/1953_French_Grand_Prix
29,1953,6,British Grand Prix,1953-07-18,silverstone,https://en.wikipedia.org/wiki/1953_British_Grand_Prix
30,1953,7,German Grand Prix,1953-08-02,nurburgring,https://en.wikipedia.org/wiki/1953_German_Grand_Prix
31,1953,8,Swiss Grand Prix,1953-08-23,bremgarten,https://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix
32,1953,9,Italian Grand Prix,1953-09-13,monza,https://en.wikipedia.org/wiki/1953_Italian_Grand_Prix
33,1954,1,Argentine Grand Prix,1954-01-17,galvez,https://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix
34,1954,2,Indianapolis 500,1954-05-31,indianapolis,https://en.wikipedia.org/wiki/1954_Indianapolis_500
35,1954,3,Belgian Grand Prix,1954-06-20,spa,https://en.wikipedia.org/wiki/1954_Belgian_Grand_Prix
36,1954,4,French Grand Prix,1954-07-04,reims,https://en.wikipedia.org/wiki/1954_French_Grand_Prix
37,1954,5,British Grand Prix,1954-07-17,silverstone,https://en.wikipedia.org/wiki/1954_British_Grand_Prix
38,1954,6,German Grand Prix,1954-08-01,nurburgring,https://en.wikipedia.org/wiki/1954_German_Grand_Prix
39,1954,7,Swiss Grand Prix,1954-08-22,bremgarten,https://en.wikipedia.org/wiki/1954_Swiss_Grand_Prix
40,1954,8,Italian Grand Prix,1954-09-05,monza,https://en.wikipedia.org/wiki/1954_Italian_Grand_Prix
41,1954,9,Spanish Grand Prix,1954-10-24,pedralbes,https://en.wikipedia.org/wiki/1954_Spanish_Grand_Prix
42,1955,1,Argentine Grand Prix,1955-01-16,galvez,https://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix
43,1955,2,Monaco Grand Prix,1955-05-22,monaco,https://en.wikipedia.org/wiki/1955_Monaco_Grand_Prix
44,1955,3,Indianapolis 500,1955-05-30,indianapolis,https://en.wikipedia.org/wiki/1955_Indianapolis_500
45,1955,4,Belgian Grand Prix,1955-06-05,spa,https://en.wikipedia.org/wiki/1955_Belgian_Grand_Prix
46,1955,5,Dutch Grand Prix,1955-06-19,zandvoort,https://en.wikipedia.org/wiki/1955_Dutch_Grand_Prix
47,1955,6,British Grand Prix,1955-07-16,aintree,https://en.wikipedia.org/wiki/1955_British_Grand_Prix
48,1955,7,Italian Grand Prix,1955-09-11,monza,https://en.wikipedia.org/wiki/1955_Italian_Grand_Prix
49,1956,1,Argentine Grand Prix,1956-01-22,galvez,https://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix
50,1956,2,Monaco Grand Prix,1956-05-13,monaco,https://en.wikipedia.org/wiki/1956_Monaco_Grand_Prix
51,1956,3,Indianapolis 500,1956-05-30,indianapolis,https://en.wikipedia.org/wiki/1956_Indianapolis_500
52,1956,4,Belgian Grand Prix,1956-06-03,spa,https://en.wikipedia.org/wiki/1956_Belgian_Grand_Prix
53,1956,5,French Grand Prix,1956-07-01,reims,https://en.wikipedia.org/wiki/1956_French_Grand_Prix
54,1956,6,British Grand Prix,1956-07-14,silverstone,https://en.wikipedia.org/wiki/1956_British_Grand_Prix
55,1956,7,German Grand Prix,1956-08-05,nurburgring,https://en.wikipedia.org/wiki/1956_German_Grand_Prix
56,1956,8,Italian Grand Prix,1956-09-02,monza,https://en.wikipedia.org/wiki/1956_Italian_Grand_Prix
57,1957,1,Argentine Grand Prix,1957-01-13,galvez,https://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix
58,1957,2,Monaco Grand Prix,1957-05-19,monaco,https://en.wikipedia.org/wiki/1957_Monaco_Grand_Prix
59,1957,3,Indianapolis 500,1957-05-30,indianapolis,https://en.wikipedia.org/wiki/1957_Indianapolis_500
60,1957,4,French Grand Prix,1957-07-07,essarts,https://en.wikipedia.org/wiki/1957_French_Grand_Prix
61,1957,5,British Grand Prix,1957-07-20,aintree,https://en.wikipedia.org/wiki/1957_British_Grand_Prix
62,1957,6,German Grand Prix,1957-08-04,nurburgring,https://en.wikipedia.org/wiki/1957_German_Grand_Prix
63,1957,7,Pescara Grand Prix,1957-08-18,pescara,https://en.wikipedia.org/wiki/1957_Pescara_Grand_Prix
64,1957,8,Italian Grand Prix,1957-09-08,monza,https://en.wikipedia.org/wiki/1957_Italian_Grand_Prix
65,1958,1,Argentine Grand Prix,1958-01-19,galvez,https://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix
66,1958,2,Monaco Grand Prix,1958-05-18,monaco,https://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix
67,1958,3,Dutch Grand Prix,1958-05-26,zandvoort,https://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix
68,1958,4,Indianapolis 500,1958-05-30,indianapolis,https://en.wikipedia.org/wiki/1958_Indianapolis_500
69,1958,5,Belgian Grand Prix,1958-06-15,spa,https://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix
70,1958,6,French Grand Prix,1958-07-06,reims,https://en.wikipedia.org/wiki/1958_French_Grand_Prix
71,1958,7,British Grand Prix,1958-07-19,silverstone,https://en.wikipedia.org/wiki/1958_British_Grand_Prix
72,1958,8,German Grand Prix,1958-08-03,nurburgring,https://en.wikipedia.org/wiki/1958_German_Grand_Prix
73,1958,9,Portuguese Grand Prix,1958-08-24,boavista,https://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix
74,1958,10,Italian Grand Prix,1958-09-07,monza,https://en.wikipedia.org/wiki/1958_Italian_Grand_Prix
75,1958,11,Moroccan Grand Prix,1958-10-19,ain-diab,https://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix
76,1959,1,Monaco Grand Prix,1959-05-10,monaco,https://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix
77,1959,2,Indianapolis 500,1959-05-30,indianapolis,https://en.wikipedia.org/wiki/1959_Indianapolis_500
78,1959,3,Dutch Grand Prix,1959-05-31,zandvoort,https://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix
79,1959,4,French Grand Prix,1959-07-05,reims,https://en.wikipedia.org/wiki/1959_French_Grand_Prix
80,1959,5,British Grand Prix,1959-07-18,aintree,https://en.wikipedia.org/wiki/1959_British_Grand_Prix
81,1959,6,German Grand Prix,1959-08-02,avus,https://en.wikipedia.org/wiki/1959_German_Grand_Prix
82,1959,7,Portuguese Grand Prix,1959-08-23,monsanto,https://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix
83,1959,8,Italian Grand Prix,1959-09-13,monza,https://en.wikipedia.org/wiki/1959_Italian_Grand_Prix
84,1959,9,United States Grand Prix,1959-12-12,sebring,https://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
85,1960,1,Argentine Grand Prix,1960-02-07,galvez,https://en.wikipedia.org/wiki/1960_Argentine_Grand_Prix
86,1960,2,Monaco Grand Prix,1960-05-29,monaco,https://en.wikipedia.org/wiki/1960_Monaco_Grand_Prix
87,1960,3,Indianapolis 500,1960-05-30,indianapolis,https://en.wikipedia.org/wiki/1960_Indianapolis_500
88,1960,4,Dutch Grand Prix,1960-06-06,zandvoort,https://en.wikipedia.org/wiki/1960_Dutch_Grand_Prix
89,1960,5,Belgian Grand Prix,1960-06-19,spa,https://en.wikipedia.org/wiki/1960_Belgian_Grand_Prix
90,1960,6,French Grand Prix,1960-07-03,reims,https://en.wikipedia.org/wiki/1960_French_Grand_Prix
91,1960,7,British Grand Prix,1960-07-16,silverstone,https://en.wikipedia.org/wiki/1960_British_Grand_Prix
92,1960,8,Portuguese Grand Prix,1960-08-14,boavista,https://en.wikipedia.org/wiki/1960_Portuguese_Grand_Prix
93,1960,9,Italian Grand Prix,1960-09-04,monza,https://en.wikipedia.org/wiki/1960_Italian_Grand_Prix
94,1960,10,United States Grand Prix,1960-11-20,riverside,https://en.wikipedia.org/wiki/1960_United_States_Grand_Prix
